Algorithm Used,Memory Depth,Mutation Rate,Opponent_Name,Coop Rate,Evaluation
Hill Climbing,4,0.05,ZDGTFT2,1,1
Hill Climbing,4,0.05,Extort2,0.865,0
Hill Climbing,4,0.05,HardJoss,0.93,0
Hill Climbing,4,0.05,GTFT,1,1
Hill Climbing,4,0.05,WSLS,1,1
Hill Climbing,4,0.05,HardMajo,0.995,0
Hill Climbing,4,0.05,Grudger,1,1
Hill Climbing,4,0.05,Prober,0.01,0
Hill Climbing,2,0.01,TFT,1,1
Hill Climbing,2,0.01,TitForTwoTats,1,1
Hill Climbing,2,0.01,ShortTermTitForTat,1,1
Hill Climbing,2,0.01,AlwaysDefect,0.995,0
Hill Climbing,2,0.01,AlwaysCooperate,1,1
Hill Climbing,2,0.01,RandomStrategy,0.005,0
Hill Climbing,2,0.01,GrimTrigger,0.005,0
Hill Climbing,2,0.01,ZDGTFT2,1,1
Hill Climbing,2,0.01,Extort2,0.835,0
Hill Climbing,2,0.01,HardJoss,0.7,0
Hill Climbing,2,0.01,GTFT,1,1
Hill Climbing,2,0.01,WSLS,0.335,0
Hill Climbing,2,0.01,HardMajo,0.995,0
Hill Climbing,2,0.01,Grudger,0.005,0
Hill Climbing,2,0.01,Prober,0.02,0
Hill Climbing,5,0.05,TFT,1,1
Hill Climbing,5,0.05,TitForTwoTats,1,1
Hill Climbing,5,0.05,ShortTermTitForTat,1,1
Hill Climbing,5,0.05,AlwaysDefect,0.005,0
Hill Climbing,5,0.05,AlwaysCooperate,0.005,0
Hill Climbing,5,0.05,RandomStrategy,0.385,0
Hill Climbing,5,0.05,GrimTrigger,0.01,0
Hill Climbing,5,0.05,ZDGTFT2,1,1
Hill Climbing,5,0.05,Extort2,0.675,0
Hill Climbing,5,0.05,HardJoss,0.64,0
Hill Climbing,5,0.05,GTFT,0.505,0
Hill Climbing,5,0.05,WSLS,1,1
Hill Climbing,5,0.05,HardMajo,0.505,0
Hill Climbing,5,0.05,Grudger,0.015,0
Hill Climbing,5,0.05,Prober,0.98,0
Hill Climbing,5,0.05,TFT,1,1
Hill Climbing,5,0.05,TitForTwoTats,0.425,0
Hill Climbing,5,0.05,ShortTermTitForTat,1,1
Hill Climbing,5,0.05,AlwaysDefect,0.01,0
Hill Climbing,5,0.05,AlwaysCooperate,0.005,0
Hill Climbing,5,0.05,RandomStrategy,0.39,0
Hill Climbing,5,0.05,GrimTrigger,0.985,0
Hill Climbing,5,0.05,ZDGTFT2,1,1
Hill Climbing,5,0.05,Extort2,0.7,0
Hill Climbing,5,0.05,HardJoss,0.72,0
Hill Climbing,5,0.05,GTFT,1,1
Hill Climbing,5,0.05,WSLS,0.43,0
Hill Climbing,5,0.05,HardMajo,0.505,0
Hill Climbing,5,0.05,Grudger,0.015,0
Hill Climbing,5,0.05,Prober,0.01,0
Hill Climbing,1,0.01,TFT,1,1
Hill Climbing,1,0.01,TitForTwoTats,1,1
Hill Climbing,1,0.01,ShortTermTitForTat,0.5,0
Hill Climbing,1,0.01,AlwaysDefect,0.005,0
Hill Climbing,1,0.01,AlwaysCooperate,1,1
Hill Climbing,1,0.01,RandomStrategy,0.005,0
Hill Climbing,1,0.01,GrimTrigger,1,1
Hill Climbing,1,0.01,ZDGTFT2,1,1
Hill Climbing,1,0.01,Extort2,0.005,0
Hill Climbing,1,0.01,HardJoss,0.51,0
Hill Climbing,1,0.01,GTFT,1,1
Hill Climbing,1,0.01,WSLS,1,1
Hill Climbing,1,0.01,HardMajo,0.005,0
Hill Climbing,1,0.01,Grudger,0.005,0
Hill Climbing,1,0.01,Prober,0.015,0
Hill Climbing,2,0.01,TFT,1,1
Hill Climbing,2,0.01,TitForTwoTats,1,1
Hill Climbing,2,0.01,ShortTermTitForTat,0.565,0
Hill Climbing,2,0.01,AlwaysDefect,0.005,0
Hill Climbing,2,0.01,AlwaysCooperate,0.005,0
Hill Climbing,2,0.01,RandomStrategy,0.48,0
Hill Climbing,2,0.01,GrimTrigger,0.995,0
Hill Climbing,2,0.01,ZDGTFT2,1,1
Hill Climbing,2,0.01,Extort2,0.01,0
Hill Climbing,2,0.01,HardJoss,0.515,0
Hill Climbing,2,0.01,GTFT,1,1
Hill Climbing,2,0.01,WSLS,1,1
Hill Climbing,2,0.01,HardMajo,0.995,0
Hill Climbing,2,0.01,Grudger,0.995,0
Hill Climbing,2,0.01,Prober,0.43,0
Hill Climbing,1,0.05,TFT,1,1
Hill Climbing,1,0.05,TitForTwoTats,1,1
Hill Climbing,1,0.05,ShortTermTitForTat,1,1
Hill Climbing,1,0.05,AlwaysDefect,0.005,0
Hill Climbing,1,0.05,AlwaysCooperate,0.005,0
Hill Climbing,1,0.05,RandomStrategy,0.005,0
Hill Climbing,1,0.05,GrimTrigger,0.005,0
Hill Climbing,1,0.05,ZDGTFT2,1,1
Hill Climbing,1,0.05,Extort2,1,0
Hill Climbing,1,0.05,HardJoss,1,0
Hill Climbing,1,0.05,GTFT,1,1
Hill Climbing,1,0.05,WSLS,0.005,0
Hill Climbing,1,0.05,HardMajo,1,0
Hill Climbing,1,0.05,Grudger,0.005,0
Hill Climbing,1,0.05,Prober,0.015,0
Hill Climbing,3,0.05,TFT,1,1
Hill Climbing,3,0.05,TitForTwoTats,0.425,0
